Opportunity_ID;Customer Name;Customer_Segment;Sector;Country;Customer_Status;Annual_Speed;Length_Of_Sales_Cycle;Product_Name;Highest_Contract_Level;Compelling_Event;RFP;Sales_Engineer_Engaged;Services_Included;Customer_Meeting;License;Contacts
EC 12806 LTD;EC Enterprises LTD;SMB;Goods;Brazil;prior customer;Medium;6 Months;CRM;C-Level;No;No;Yes;Yes;17;84;148
MAR27179 LTD;MARIE WITENBURG LTD;Fortune500;Manufacturing;UK;current customer;Medium;1 Year;Analytics;C-Level;No;Yes;No;Yes;17;453;70
BIL27513 LTD;BILL FERNANCE LTD;SMB;Retail;Japan;prior customer;Small;6 Months;Security;C-Level;No;Yes;Yes;Yes;8;134;30
SCO18826 LTD;Scott Parker LTD;Fortune500;Finserv;North America;current customer;Huge;1 Year;Analytics;C-Level;Yes;No;No;No;21;595;200
JOE16329 SPA;Joe Masson SPA;Enterprise;Manufacturing;UK;prior customer;Large;1 Year;Security;C-Level;Yes;No;Yes;Yes;23;126;155
RON30046 SPA;Ronald Bey SPA;SMB;High tech;Russia;prior customer;Huge;6 Months;Analytics;Manager Level;Yes;Yes;No;Yes;25;65;117
MOT84609 SPA;Motomarkt Stuttgart GmbH SPA;Fortune500;Consumer Product;UK;current customer;Huge;1 Year;Database;C-Level;No;No;Yes;Yes;22;375;98
A.I57785 SPA;A.I.T. GmbH SPA;SMB;Consumer Product;Russia;prospect;Medium;18 Months;Database;Manager Level;No;No;Yes;No;31;33;119
J &56287 SPA;J & P SPA;SMB;Healthcare;Germany;prior customer;Large;1 Year;Web Server;Individual Contributor Level;No;No;No;Yes;5;31;33
JAS83847 SPA;Jaspers Computers SPA;SMB;Construction;Brazil;current customer;Huge;6 Months;Portal;C-Level;No;Yes;No;No;24;29;144
BER49030 SPA;Bernardin SA SPA;SMB;High tech;India;current customer;Big;6 Months;Portal;C-Level;Yes;Yes;Yes;Yes;13;53;17
MAF22891 SPA;Mafor Software Service Corp. SPA;Enterprise;Retail;Japan;prior customer;Medium;1 Year;Security;Individual Contributor Level;Yes;No;Yes;No;26;83;118
ALP15934 SPA;ALPHA Center SPA;Enterprise;Retail;UK;prospect;Medium;2 Years;Database;Manager Level;Yes;Yes;No;Yes;12;98;140
NOR33699 SPA;North Energy Ltd SPA;SMB;Apparel;China;prior customer;Big;1 Month;Web Server;Individual Contributor Level;No;No;Yes;Yes;22;34;64
RIW69701 SPA;RIWA Regional Warehouse Denver SPA;Enterprise;Retail;Italy;prior customer;Large;2 Years;Web Server;Manager Level;Yes;No;No;No;22;172;125
GLO66130 SPA;Global Industries PLC SPA;Enterprise;High tech;France;prior customer;Big;6 Months;Security;C-Level;No;Yes;No;No;10;170;96
SOF17923 SPA;Software Warehouse SPA;Enterprise;Retail;Japan;prior customer;Big;1 Month;Analytics;C-Level;No;Yes;No;Yes;21;200;139
HAV42922 SPA;Havers Inc SPA;Enterprise;Goods;Japan;prior customer;Huge;18 Months;ERP;Manager Level;Yes;No;Yes;No;10;221;20
CLI64455 SPA;Clinton Industries SPA;Fortune500;Healthcare;Brazil;current customer;Medium;1 Year;Web Server;C-Level;No;No;No;Yes;37;224;82
JMA97744 SPA;JMart SPA;Enterprise;Consumer Product;Russia;prior customer;Large;6 Months;Portal;Manager Level;No;Yes;No;Yes;15;133;134
WOR66605 SPA;World PC Inc. SPA;Fortune500;Healthcare;Japan;current customer;Huge;1 Year;CRM;C-Level;Yes;No;Yes;Yes;42;385;127
LAN60233 SPA;Landstar Corp SPA;SMB;High tech;Italy;prospect;Huge;1 Month;Analytics;Manager Level;No;Yes;Yes;No;20;84;85
ALA97137 SPA;ALAN FAITH SPA;SMB;Finserv;Brazil;prospect;Large;6 Months;Portal;Manager Level;No;No;No;No;16;62;63
ALA11569 SPA;ALAN GWARA SPA;Enterprise;Manufacturing;Germany;prior customer;Small;6 Months;Security;C-Level;Yes;No;Yes;Yes;14;194;55
ROG68936 SRL;Roger Zahn SRL;SMB;Finserv;Brazil;prospect;Medium;1 Year;Web Server;Individual Contributor Level;Yes;No;Yes;No;10;66;10
PET13331 SRL;Peter King SRL;SMB;Retail;Italy;prior customer;Medium;1 Month;Application Server;Manager Level;Yes;Yes;Yes;Yes;27;90;136
ERL78486 SRL;ERL Freiburg SRL;Enterprise;Retail;Germany;prospect;Big;1 Year;Security;C-Level;No;Yes;No;Yes;7;237;74
BEC97379 SRL;Becker Stuttgart SRL;Enterprise;Construction;UK;current customer;Medium;1 Year;Database;Manager Level;Yes;No;No;No;2;46;9
AIR13300 SRL;Aircraft Products SRL;Enterprise;Goods;Japan;prior customer;Big;6 Months;Web Server;Manager Level;Yes;No;Yes;Yes;11;142;95
ETE84831 SRL;Etelko Textilien SRL;Enterprise;Healthcare;Italy;prior customer;Small;6 Months;Application Server;C-Level;Yes;No;Yes;No;29;79;117
MOT48015 SRL;Motomarkt Heidelberg GmbH SRL;SMB;High tech;France;prospect;Big;1 Month;Security;Manager Level;Yes;No;Yes;Yes;25;83;20
INS62722 SRL;Insurance Company SRL;Fortune500;Goods;North America;current customer;Small;1 Year;Security;C-Level;Yes;No;No;Yes;25;306;135
ROG71843 SRL;Rogier Golf Resort YY SRL;Enterprise;Apparel;India;prior customer;Big;2 Years;ERP;C-Level;No;Yes;No;No;29;275;18
LES16692 SRL;LES Sales Company SRL;SMB;Consumer Product;China;prospect;Large;1 Month;Web Server;Manager Level;No;No;Yes;No;26;22;33
KAR12109 SRL;Karl Smith SRL;SMB;Goods;North America;prior customer;Large;18 Months;Database;Individual Contributor Level;Yes;Yes;Yes;Yes;23;73;17
WAL91144 SRL;Walther Maschinenbau GmbH SRL;SMB;High tech;Italy;current customer;Big;1 Month;Security;Individual Contributor Level;No;No;Yes;No;24;90;32
SUP88343 SRL;Super-Mart SRL;SMB;Construction;Brazil;prospect;Big;6 Months;Security;Manager Level;No;Yes;No;No;29;59;30
REM50108 SRL;REMA Superstore SRL;Enterprise;Apparel;China;prior customer;Small;6 Months;Web Server;C-Level;No;Yes;No;Yes;7;163;28
PRA38257 SRL;Praxis Dr. Rot SRL;SMB;Goods;Russia;current customer;Huge;1 Year;Portal;C-Level;Yes;Yes;Yes;Yes;45;169;166
MIL69520 SRL;Milton & Milton SRL;SMB;Healthcare;India;prospect;Small;1 Year;Analytics;Individual Contributor Level;No;Yes;Yes;Yes;9;39;86
VNE32720 SRL;vNet SRL;Fortune500;Consumer Product;UK;current customer;Medium;1 Year;Portal;C-Level;No;No;Yes;Yes;40;220;38
ABI57682 SRL;Abidon Corp SRL;Fortune500;Apparel;Japan;current customer;Medium;1 Year;Analytics;C-Level;Yes;Yes;No;No;40;408;167
JAN99122 SRL;JANET ZUSSIN SRL;Enterprise;Goods;China;prior customer;Big;1 Month;Analytics;Individual Contributor Level;No;Yes;No;Yes;29;199;59
JAM83590 SRL;JAMES GRUPER SRL;SMB;High tech;Italy;prospect;Huge;18 Months;Analytics;C-Level;Yes;No;No;Yes;18;122;77
KIM91330 SRL;Kim Possible Inc. - East SRL;Enterprise;Retail;China;prior customer;Small;1 Year;ERP;C-Level;Yes;No;Yes;Yes;27;91;135
STE13974SARL;Steve Martin SARL;SMB;Apparel;UK;current customer;Large;6 Months;Portal;Manager Level;No;No;Yes;No;16;111;151
OME85404SARL;Omega Soft-Hardware Markt SARL;SMB;Healthcare;UK;prior customer;Huge;6 Months;Application Server;Individual Contributor Level;No;No;Yes;Yes;20;129;55
MIN80279SARL;Minerva Energieversorgung GmbH SARL;Enterprise;Consumer Product;Russia;prospect;Medium;2 Years;Application Server;C-Level;No;Yes;No;No;13;136;153
GEN63329SARL;General Distributors Inc SARL;SMB;Goods;Italy;prior customer;Medium;6 Months;Analytics;Manager Level;No;Yes;Yes;Yes;25;101;34
MAN34911SARL;Mansur Computers. Inc. SARL;Enterprise;Finserv;China;prospect;Medium;18 Months;ERP;C-Level;No;No;No;No;14;214;10
ALP96144SARL;Alpha-Systems GmbH SARL;Enterprise;Retail;UK;prospect;Large;1 Year;Analytics;Manager Level;Yes;Yes;Yes;No;9;125;68
THO47467SARL;Thomas Bush Inc. SARL;SMB;Healthcare;UK;prior customer;Large;1 Year;Identity Server;Manager Level;No;No;No;Yes;14;145;106
DEP88160SARL;Department of Defense SARL;Fortune500;Goods;Japan;current customer;Large;1 Year;Portal;C-Level;Yes;Yes;No;No;18;182;174
TOR83801SARL;Tornado Motorsport SARL;SMB;Finserv;UK;current customer;Medium;1 Month;Application Server;Manager Level;No;No;No;No;30;114;149
THO30393SARL;Thomas World Distribution SARL;SMB;Finserv;China;current customer;Small;6 Months;Application Server;C-Level;No;Yes;Yes;No;24;41;145
AND81016SARL;Andrew Sands SARL;Enterprise;Consumer Product;UK;prospect;Medium;18 Months;Security;Manager Level;No;Yes;Yes;No;14;245;92
BZ 92001SARL;BZ Wines Inc. SARL;SMB;Consumer Product;Germany;current customer;Huge;18 Months;Analytics;Manager Level;Yes;No;Yes;No;17;53;32
EIN84446SARL;Einmalkunde SARL;SMB;Apparel;France;prospect;Huge;1 Month;Security;Manager Level;Yes;No;No;Yes;7;33;69
DYN16675SARL;Dynamic Industries SARL;SMB;Goods;Brazil;current customer;Small;1 Month;Application Server;Manager Level;No;No;No;Yes;26;42;10
CEN95981SARL;Century Software.Com SARL;Enterprise;Finserv;UK;prior customer;Small;1 Year;ERP;Manager Level;No;No;No;No;12;199;85
HEI47846SARL;Heiner Schmidtmann SARL;Fortune500;Goods;India;current customer;Huge;1 Year;Application Server;C-Level;Yes;Yes;Yes;No;32;518;68
BRA55060SARL;Brazil Technologies SARL;SMB;Goods;France;prospect;Huge;6 Months;Identity Server;Individual Contributor Level;No;No;No;No;31;119;121
LOR86644SARL;LORI WINTER SARL;SMB;Finserv;India;prospect;Big;18 Months;ERP;Manager Level;No;No;No;Yes;15;70;131
JAM84880SARL;JAMES FERENCY SARL;SMB;Consumer Product;Japan;prospect;Medium;1 Month;Portal;Individual Contributor Level;No;Yes;No;Yes;30;116;30
PET76977SARL;Peter Hoffman SARL;SMB;Healthcare;China;prospect;Big;6 Months;Identity Server;Manager Level;Yes;Yes;No;Yes;24;113;7
CHA27783T BV;Charles Scott BV;SMB;Apparel;Germany;prior customer;Huge;18 Months;Portal;Manager Level;No;No;Yes;Yes;8;86;60
DAV44724H BV;David Lynch BV;Enterprise;Healthcare;France;prior customer;Big;6 Months;Identity Server;C-Level;No;No;No;Yes;20;132;68
CBD90026N BV;CBD Computer Based Design BV;SMB;Apparel;Japan;current customer;Huge;6 Months;ERP;C-Level;No;Yes;Yes;Yes;28;97;148
TEC47354H BV;Technik und Systeme GmbH BV;SMB;Retail;China;prospect;Medium;1 Year;Application Server;Individual Contributor Level;Yes;Yes;No;No;9;66;21
COM26637. BV;CompSmart Inc. BV;SMB;Consumer Product;North America;current customer;Big;1 Year;Web Server;Manager Level;Yes;No;Yes;Yes;8;21;19
N.I74549H BV;N.I.C. High Tech BV;Fortune500;Construction;India;current customer;Small;1 Year;ERP;C-Level;No;No;No;No;40;379;182
ADE96356A BV;Adecom SA BV;Enterprise;Goods;India;prior customer;Medium;1 Month;CRM;Manager Level;No;Yes;No;Yes;24;40;138
C-T48710P BV;C-Tech Corp BV;Enterprise;Consumer Product;Russia;prior customer;Large;1 Year;Portal;C-Level;No;No;Yes;No;19;154;10
ADC42824R BV;ADCOM COMPUTER BV;Enterprise;Apparel;France;prior customer;Big;1 Year;Security;Manager Level;No;Yes;No;Yes;5;210;109
CCS31268L BV;CCS Industrial BV;Fortune500;Retail;France;current customer;Large;1 Year;Database;C-Level;Yes;Yes;No;No;26;380;175
RIW28376N BV;RIWA Regional Storage Trenton BV;SMB;Goods;North America;prospect;Large;6 Months;CRM;Individual Contributor Level;Yes;Yes;No;Yes;26;45;133
PR 96228E BV;PR Electronics France BV;SMB;High tech;Russia;current customer;Medium;1 Year;ERP;C-Level;Yes;Yes;No;No;43;220;190
MAM60936I BV;Mamoun Darkazanli BV;Enterprise;Healthcare;Japan;prior customer;Big;1 Year;ERP;C-Level;No;No;Yes;No;11;149;64
CAR47053T BV;Carmella Credit BV;Enterprise;Retail;Russia;prior customer;Large;6 Months;ERP;Manager Level;Yes;Yes;No;Yes;18;231;21
BUI25838T BV;Builders Depot BV;SMB;Apparel;Italy;prospect;Small;18 Months;Application Server;C-Level;Yes;No;No;Yes;28;147;148
MAT30440X BV;Matrax BV;Enterprise;High tech;China;prior customer;Huge;6 Months;Portal;C-Level;No;Yes;No;Yes;26;126;41
XNE40546T BV;xNET BV;SMB;High tech;Russia;prior customer;Big;1 Month;Analytics;Manager Level;Yes;No;No;Yes;21;128;22
RAW74519P BV;Rawlings Group BV;Enterprise;High tech;UK;prior customer;Big;2 Years;Security;Manager Level;No;No;No;Yes;16;164;87
P. 70514R BV;P. Baker BV;SMB;Apparel;India;prior customer;Medium;1 Month;Security;Individual Contributor Level;Yes;Yes;Yes;No;22;111;111
BEN34339R BV;BEN GUIER BV;SMB;Finserv;UK;prospect;Large;1 Year;Database;Individual Contributor Level;No;Yes;Yes;Yes;19;94;66
JOH26119COOP;John Evans CooP;Fortune500;Apparel;China;current customer;Medium;1 Year;Identity Server;C-Level;Yes;Yes;Yes;No;34;591;82
EDW79714COOP;Edward Burns CooP;Enterprise;Retail;North America;current customer;Medium;1 Year;CRM;Individual Contributor Level;No;No;Yes;Yes;17;239;54
KAR88371COOP;Karsson High Tech Markt CooP;Enterprise;Consumer Product;North America;prior customer;Big;1 Month;Analytics;C-Level;Yes;Yes;No;Yes;21;164;109
BEC38151COOP;Becker Koeln CooP;Enterprise;Consumer Product;North America;prospect;Huge;2 Years;Application Server;Individual Contributor Level;No;Yes;Yes;Yes;7;34;81
C.A65176COOP;C.A.S. Computer Application Systems CooP;Fortune500;High tech;Italy;current customer;Medium;1 Year;Web Server;C-Level;No;Yes;Yes;Yes;18;342;72
SUD69033COOP;SudaTech GmbH CooP;Enterprise;Apparel;India;prior customer;Small;18 Months;Portal;Manager Level;Yes;Yes;No;No;18;125;58
HTG15566COOP;HTG Komponente GmbH CooP;SMB;Finserv;France;prospect;Medium;1 Month;Security;Manager Level;No;Yes;Yes;No;14;119;105
DAV60774COOP;Davis Integration System CooP;SMB;High tech;Italy;prospect;Huge;6 Months;ERP;C-Level;Yes;Yes;No;Yes;26;61;24
LA 41126COOP;La Quinta Hotel & Towers CooP;Enterprise;Retail;North America;prior customer;Small;2 Years;Application Server;Manager Level;No;No;No;No;11;159;142
COM55757COOP;Computer Specialists Inc. CooP;SMB;Retail;France;prior customer;Big;1 Month;Security;Manager Level;Yes;Yes;No;Yes;4;75;61
ALE98683COOP;Alexander Inc. CooP;Enterprise;Healthcare;Brazil;prior customer;Huge;6 Months;Database;C-Level;No;No;No;No;22;137;135
FEU91184COOP;Feuerwehr Tuning AG CooP;SMB;Apparel;North America;prior customer;Large;6 Months;CRM;Individual Contributor Level;No;Yes;Yes;No;8;89;117
IDO84202COOP;IDONWANAPAY  Stores CooP;SMB;Manufacturing;Japan;prospect;Small;1 Month;Application Server;Individual Contributor Level;Yes;No;No;Yes;19;83;105
HAV98951COOP;Havers  Inc. CooP;SMB;Retail;Germany;prospect;Huge;1 Month;Analytics;Manager Level;No;Yes;Yes;Yes;30;15;112
PRA50149COOP;Praxis Dr. Ernst & Dr. Weissing CooP;Enterprise;Healthcare;Brazil;prospect;Medium;6 Months;ERP;Manager Level;Yes;No;Yes;Yes;15;247;13
HOL16095COOP;Holden & Associates CooP;Enterprise;Finserv;Russia;prior customer;Huge;18 Months;Analytics;Manager Level;Yes;Yes;No;Yes;12;101;68
FRE65970COOP;Fred Miller CooP;Fortune500;Healthcare;India;current customer;Big;1 Year;Database;C-Level;Yes;Yes;No;No;24;231;159
IND53078COOP;Industrie Dynamique CooP;SMB;High tech;France;prior customer;Large;6 Months;Portal;Manager Level;No;No;No;No;28;52;14
LOR15958COOP;LORI ZINNY CooP;SMB;Construction;Russia;prospect;Large;1 Month;CRM;Individual Contributor Level;Yes;Yes;No;Yes;3;69;99
ALA66048COOP;ALAN FINER CooP;SMB;High tech;Russia;prospect;Big;1 Month;Identity Server;Manager Level;No;Yes;No;No;6;139;73
PAS54820COOP;Pascal Roberts CooP;Enterprise;Apparel;UK;prior customer;Huge;1 Year;Portal;Manager Level;Yes;Yes;No;Yes;15;202;100
ALE88627SGPS;Alex Lynch SGPS;Enterprise;Apparel;Italy;prior customer;Small;1 Year;ERP;Manager Level;Yes;Yes;Yes;Yes;27;74;109
LAM81163SGPS;Lampen-Markt GmbH SGPS;Fortune500;Construction;Brazil;prospect;Small;1 Month;Analytics;C-Level;No;Yes;Yes;Yes;30;104;99
COM53193SGPS;Computer Competence Center SGPS;Enterprise;Retail;Brazil;prior customer;Huge;18 Months;Web Server;C-Level;No;No;No;No;23;182;59
SOC92366SGPS;Societe Chimique Picardie SA SGPS;SMB;Finserv;Italy;prospect;Large;1 Month;Analytics;Individual Contributor Level;Yes;No;No;No;14;140;105
CAR23324SGPS;Caribbean Computer Supply Corp SGPS;Fortune500;Goods;China;prospect;Small;1 Month;Web Server;Individual Contributor Level;No;No;Yes;No;3;28;107
PC-89200SGPS;PC-World Stuttgart KG SGPS;Enterprise;Construction;Germany;current customer;Huge;1 Month;Portal;Manager Level;No;No;No;No;5;266;113
NOR84963SGPS;Norwegian Import & Export Group SGPS;Enterprise;Goods;China;prior customer;Large;1 Year;Web Server;C-Level;Yes;No;No;No;6;195;26
AND72147SGPS;Andyna and Dynana Laboratories Inc SGPS;Enterprise;Goods;UK;prior customer;Big;6 Months;Analytics;Manager Level;Yes;Yes;No;No;5;167;25
KET97233SGPS;Ketiv Technologies SGPS;Fortune500;Manufacturing;Italy;current customer;Huge;1 Year;Analytics;C-Level;Yes;Yes;Yes;No;32;175;86
POW31561SGPS;Powers & Company SGPS;Enterprise;Apparel;Russia;prior customer;Huge;18 Months;Portal;C-Level;Yes;No;Yes;No;6;85;63
FLA58040SGPS;Flatter & Asche AG SGPS;SMB;Retail;Japan;prior customer;Large;6 Months;Analytics;Individual Contributor Level;Yes;No;Yes;Yes;15;98;67
THE13787SGPS;The Wine Consignee Inc. SGPS;Enterprise;Goods;India;current customer;Huge;1 Year;Portal;Manager Level;Yes;Yes;No;No;7;266;92
GOU42446SGPS;Gourmet Market SGPS;Enterprise;Finserv;Italy;prospect;Medium;2 Years;Application Server;Manager Level;Yes;No;Yes;Yes;20;147;21
COM62987SGPS;Computer Systems SGPS;SMB;Retail;China;prospect;Medium;6 Months;Analytics;Manager Level;No;No;No;Yes;4;45;108
AME85712SGPS;American Security Company SGPS;Fortune500;Healthcare;UK;current customer;Medium;1 Year;Web Server;C-Level;Yes;Yes;Yes;Yes;49;348;176
HAL78868SGPS;Hall Manufacturing SGPS;SMB;Apparel;Japan;prospect;Medium;6 Months;ERP;Individual Contributor Level;No;No;Yes;No;4;55;60
AVN71698SGPS;Avnet Electronics SGPS;SMB;Healthcare;Germany;prior customer;Large;6 Months;Web Server;Manager Level;Yes;Yes;Yes;Yes;15;87;119
TOM91580SGPS;Tom Little SGPS;Fortune500;Consumer Product;North America;current customer;Large;1 Year;Identity Server;C-Level;Yes;Yes;No;No;45;527;67
ALA73915SGPS;ALAN FARRAR SGPS;SMB;Retail;Japan;prior customer;Huge;1 Month;CRM;Manager Level;Yes;No;Yes;No;14;21;30
MAR64807SGPS;Mark Miller SGPS;Fortune500;Consumer Product;Germany;current customer;Large;1 Year;Portal;C-Level;No;Yes;No;Yes;15;274;110
ROB64287N NV;Robert Jensen NV;SMB;Manufacturing;Germany;prospect;Small;2 Years;Security;Individual Contributor Level;No;Yes;No;Yes;27;104;58
JAN45954S NV;Janett Adams NV;SMB;Construction;North America;current customer;Large;18 Months;Identity Server;Manager Level;No;No;Yes;No;31;105;109
HIT71010G NV;Hitech AG NV;SMB;Manufacturing;France;prospect;Small;18 Months;Portal;Manager Level;No;No;Yes;Yes;25;66;121
AMA30814S NV;Amadeus NV;Enterprise;Finserv;Italy;prior customer;Small;18 Months;Analytics;C-Level;No;No;Yes;Yes;29;139;154
TAL72111H NV;TALPA GmbH NV;Enterprise;High tech;UK;prior customer;Big;18 Months;CRM;Manager Level;No;No;No;Yes;15;100;22
COM66686G NV;COMPU Tech. AG NV;Enterprise;Goods;Brazil;prior customer;Small;6 Months;Application Server;Manager Level;No;Yes;Yes;Yes;18;66;44
JAS21641O NV;Jashanmal International Trading Co NV;Enterprise;Goods;Italy;prior customer;Small;18 Months;Portal;C-Level;Yes;Yes;Yes;Yes;9;241;152
CAN33673Y NV;Candid International Technology NV;Enterprise;Manufacturing;Italy;prior customer;Huge;1 Year;Security;C-Level;Yes;Yes;No;No;11;292;6
MED63604E NV;Media Store NV;Fortune500;Construction;UK;current customer;Large;1 Year;Analytics;C-Level;Yes;Yes;No;No;27;240;27
PH 25181N NV;PH Monitor Corporation NV;Enterprise;Construction;North America;prospect;Small;2 Years;ERP;Individual Contributor Level;No;No;Yes;No;23;46;100
RIW56243S NV;RIWA Headquarters NV;Fortune500;Construction;North America;current customer;Large;1 Year;Database;C-Level;No;No;No;No;49;551;109
EIN16798E NV;Einmalkunde NV;Fortune500;Retail;China;current customer;Medium;1 Year;Database;C-Level;No;Yes;Yes;Yes;41;583;180
KRO47622S NV;Krogertsens NV;Fortune500;Consumer Product;Japan;current customer;Huge;1 Year;ERP;C-Level;No;No;Yes;Yes;49;378;56
06M53590E NV;06MegaStore NV;SMB;High tech;Italy;prospect;Big;1 Year;Identity Server;Individual Contributor Level;Yes;No;No;No;9;72;20
ERN96432G NV;Ernst Brinkmann KG NV;Fortune500;Goods;Japan;prior customer;Small;6 Months;Security;Manager Level;No;Yes;Yes;Yes;9;234;116
SUN29706C NV;Sunburst Inc NV;SMB;Retail;Brazil;prospect;Large;6 Months;Portal;Manager Level;No;No;Yes;No;18;110;68
SEC18132E NV;Second Source NV;Fortune500;Goods;North America;prior customer;Big;1 Month;Web Server;C-Level;Yes;Yes;Yes;Yes;27;81;126
TIM68598N NV;Timco Corporation NV;SMB;Finserv;China;prospect;Small;18 Months;Identity Server;Individual Contributor Level;No;No;Yes;Yes;22;70;120
JAN96093Z NV;JANE SANCHEZ NV;SMB;Finserv;China;prospect;Large;1 Month;Analytics;Individual Contributor Level;Yes;No;Yes;No;26;105;150
ALA19386L NV;ALAN GUETTEL NV;Fortune500;Construction;India;current customer;Medium;1 Year;Identity Server;C-Level;No;Yes;Yes;Yes;46;561;92
EMM26928 ENT;Emma Bull ENT;SMB;High tech;Japan;prior customer;Large;1 Month;Application Server;Individual Contributor Level;Yes;Yes;Yes;Yes;7;66;40
ALB57703 ENT;Albert Brooks ENT;Enterprise;Apparel;Germany;prior customer;Large;1 Year;Identity Server;C-Level;No;Yes;Yes;No;25;281;89
INS51494 ENT;Institut fuer Umweltforschung ENT;SMB;Manufacturing;North America;prior customer;Big;1 Month;Web Server;Individual Contributor Level;Yes;Yes;Yes;Yes;20;76;5
CHR58515 ENT;Christal Clear ENT;SMB;Construction;China;prospect;Medium;6 Months;Database;Manager Level;No;No;No;Yes;16;142;68
GEN33102 ENT;General Distributors Inc. ENT;Fortune500;Consumer Product;China;current customer;Big;1 Year;Analytics;C-Level;Yes;No;Yes;No;19;479;188
SAP83095 ENT;SAPSOTA AG ENT;Fortune500;Apparel;Italy;prior customer;Small;6 Months;Security;Manager Level;No;No;Yes;No;19;52;130
BIT27454 ENT;Bit Market ENT;Enterprise;Healthcare;Brazil;prior customer;Large;1 Year;ERP;C-Level;No;Yes;Yes;No;19;265;22
LIV62792 ENT;Live Insurance Inc. ENT;SMB;Retail;UK;prospect;Big;1 Month;Portal;Manager Level;No;Yes;No;Yes;22;22;65
HOT30036 ENT;Hotel Alfonso Del Vida ENT;SMB;Finserv;China;prior customer;Huge;2 Years;Identity Server;Manager Level;No;Yes;No;Yes;20;32;12
TOR83286 ENT;Tornado Motorsports ENT;Fortune500;Retail;Russia;current customer;Huge;1 Year;Web Server;C-Level;Yes;Yes;No;No;48;515;136
COM19139 ENT;Compu Tech ENT;Fortune500;Healthcare;Japan;prior customer;Huge;6 Months;Identity Server;Manager Level;No;No;Yes;Yes;5;208;140
ZUB13779 ENT;Zuber AG ENT;Fortune500;High tech;China;current customer;Huge;1 Year;Security;C-Level;Yes;No;No;Yes;21;539;51
WAL17491 ENT;Wal-Mart ENT;SMB;Finserv;Brazil;prospect;Huge;6 Months;Identity Server;Individual Contributor Level;Yes;Yes;Yes;Yes;17;49;37
CLI30856 ENT;Cliente 2 ENT;SMB;Construction;France;current customer;Small;1 Year;CRM;C-Level;Yes;Yes;No;No;28;390;125
PRA63661 ENT;Praxis Dr. M³ller ENT;Enterprise;Retail;UK;prior customer;Small;2 Years;Database;Individual Contributor Level;No;No;Yes;No;21;259;110
TIT24579 ENT;Titan Manufacturing ENT;SMB;Goods;Germany;prospect;Medium;18 Months;Database;Individual Contributor Level;Yes;No;No;Yes;13;107;121
JIM49216 ENT;Jim┤s Mart 1026 ENT;Enterprise;High tech;France;prior customer;Huge;1 Year;Identity Server;Manager Level;Yes;Yes;Yes;Yes;11;73;18
MIC66675 ENT;Microwell ENT;SMB;High tech;India;prospect;Huge;6 Months;CRM;Manager Level;No;Yes;No;Yes;12;125;110
MAR53640 ENT;MARIE ZDROK ENT;SMB;Retail;Germany;current customer;Huge;6 Months;Analytics;C-Level;No;No;Yes;No;28;124;59
BIL24754 ENT;BILL FERRARA ENT;SMB;Construction;Italy;prior customer;Big;2 Years;Application Server;Individual Contributor Level;Yes;Yes;Yes;No;30;64;65
TAN59322 ENT;Tandra ENT;SMB;Construction;India;prospect;Huge;6 Months;CRM;Manager Level;No;No;Yes;Yes;19;136;151
TRA92166 CRL;Tracy Collins CRL;Enterprise;High tech;France;prior customer;Big;6 Months;Database;Manager Level;No;Yes;No;Yes;17;82;64
BEC72214 CRL;Becker Berlin CRL;SMB;Apparel;Italy;prospect;Medium;2 Years;ERP;Manager Level;Yes;No;No;Yes;13;25;101
ELE15953 CRL;Elektromarkt Bamby CRL;Fortune500;Consumer Product;Brazil;current customer;Medium;1 Year;CRM;C-Level;Yes;Yes;No;No;31;494;59
PIL89061 CRL;PILAR am Neckar CRL;Fortune500;Consumer Product;North America;current customer;Huge;1 Year;Identity Server;C-Level;Yes;Yes;Yes;No;41;327;25
MOT43530 CRL;Motor Sports CRL;Enterprise;Construction;China;prospect;Big;6 Months;Application Server;C-Level;No;Yes;No;No;29;50;59
COM32555 CRL;CompuMax GmbH CRL;Enterprise;Construction;UK;prior customer;Big;1 Month;Security;Individual Contributor Level;No;No;Yes;Yes;25;196;111
MIL68708 CRL;Miller & Son Trading Ltd. CRL;Fortune500;Consumer Product;Brazil;current customer;Big;1 Year;Portal;C-Level;No;No;No;No;22;432;172
CRO37514 CRL;Cross Worlds Consulting CRL;Fortune500;Finserv;Japan;current customer;Huge;1 Year;Portal;C-Level;Yes;No;No;Yes;32;441;28
TID14907 CRL;Tidemann Electronics CRL;Fortune500;High tech;Italy;current customer;Medium;1 Year;Web Server;C-Level;No;No;Yes;No;16;530;114
WAL74478 CRL;Wallace Distribution CRL;Enterprise;Manufacturing;Brazil;prospect;Huge;1 Year;CRM;Manager Level;Yes;No;Yes;No;13;118;117
INU64609 CRL;Inustrias Pacificas S.A. CRL;Fortune500;High tech;Russia;current customer;Large;1 Year;Web Server;C-Level;No;Yes;No;Yes;36;195;64
GLO84564 CRL;Global Technologies PLC CRL;Enterprise;Retail;Japan;prior customer;Huge;6 Months;Portal;C-Level;Yes;Yes;Yes;Yes;10;287;75
BUY17602 CRL;Buying Unlimited CRL;SMB;Apparel;UK;prior customer;Large;1 Month;CRM;C-Level;Yes;No;No;No;31;76;103
